"","outcome","exposure","method","nsnp","b","se","pval","Q","Q_df","Q_pval","egger_intercept","egger_intercept_se","egger_intercept_pval","pmid","year","author","consortium","subcategory","ncase","ncontrol","sample_size","unit","sd","sex","population"
"446","8-choice reaction time","Triglycerides","MR Egger",37,-0.0118201179795836,0.207889288677907,0.954981869685652,34.8031952889915,35,0.477567823217425,0.0108487550494797,0.0114970026380748,0.351834505119263,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,1382,"SD (milliseconds)",100.47,"Males and females","European"
"447","8-choice reaction time","Triglycerides","Weighted median",37,-0.0650741002706664,0.193214034497538,0.736269181324262,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,1382,"SD (milliseconds)",100.47,"Males and females","European"
"448","Alzheimer's disease","Triglycerides","Inverse variance weighted",33,0.0641396635221046,0.0322558737032041,0.0467603285985467,23.5852767584397,32,0.85903347231764,NA,NA,NA,24162737,2013,"Lambert","IGAP","Psychiatric / neurological",17008,37154,54162,"log odds",NA,"Males and females","European"
"449","Alzheimer's disease","Triglycerides","MR Egger",33,0.0688688480832723,0.0381797402330579,0.080987942232307,24.2924908829006,31,0.798429714492709,0.000869158418482749,0.0037541486283559,0.818432702258481,24162737,2013,"Lambert","IGAP","Psychiatric / neurological",17008,37154,54162,"log odds",NA,"Males and females","European"
"450","Alzheimer's disease","Triglycerides","Weighted median",33,0.059703582914541,0.0385881829086409,0.12181536133928,NA,NA,NA,NA,NA,NA,24162737,2013,"Lambert","IGAP","Psychiatric / neurological",17008,37154,54162,"log odds",NA,"Males and females","European"
"451","Amygdala volume","Triglycerides","Inverse variance weighted",33,-3.01690636104959,4.40541556751422,0.493458992694495,18.2900997436427,32,0.975007105450335,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"452","Amygdala volume","Triglycerides","MR Egger",33,-2.65285244036488,5.17329292007087,0.611727826982018,18.8620838813301,31,0.957164808136488,0.0727114080005383,0.541671828995368,0.894084343358594,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"453","Amygdala volume","Triglycerides","Weighted median",33,-3.93007716138164,4.93417159189655,0.425740358243188,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"454","Amyotrophic lateral sclerosis","Triglycerides","Inverse variance weighted",38,0.0205322240971089,0.0322926411047088,0.524895425021457,25.4600058010412,37,0.924179990373433,NA,NA,NA,27455348,2016,"van Rheenen","Project MinE","Psychiatric / neurological",12577,23475,36052,"log odds",NA,"Males and females","European"
"455","Amyotrophic lateral sclerosis","Triglycerides","MR Egger",38,-0.00180137545335161,0.0382679018207644,0.962715417086361,24.9841902342144,36,0.916203953727613,-0.00431431497023481,0.0039665461333311,0.283967066120552,27455348,2016,"van Rheenen","Project MinE","Psychiatric / neurological",12577,23475,36052,"log odds",NA,"Males and females","European"
"456","Amyotrophic lateral sclerosis","Triglycerides","Weighted median",38,0.000572206313734513,0.038114029332912,0.988021800859584,NA,NA,NA,NA,NA,NA,27455348,2016,"van Rheenen","Project MinE","Psychiatric / neurological",12577,23475,36052,"log odds",NA,"Males and females","European"
"457","Anorexia nervosa","Triglycerides","Inverse variance weighted",29,0.0469854401332251,0.0570500596014668,0.410176728979164,30.1158807454546,28,0.357699868195184,NA,NA,NA,24514567,2014,"Boraska V","GCAN","Psychiatric / neurological",2907,14860,17767,"log odds",NA,"Males and females","European"
"458","Anorexia nervosa","Triglycerides","MR Egger",29,0.0547427690407578,0.0673229260245286,0.423252177229731,31.1715767645072,27,0.264152281546939,0.00180211736208083,0.0079244303483753,0.821815961314684,24514567,2014,"Boraska V","GCAN","Psychiatric / neurological",2907,14860,17767,"log odds",NA,"Males and females","European"
"459","Anorexia nervosa","Triglycerides","Weighted median",29,0.0501897728335168,0.0584848502117602,0.390800213884819,NA,NA,NA,NA,NA,NA,24514567,2014,"Boraska V","GCAN","Psychiatric / neurological",2907,14860,17767,"log odds",NA,"Males and females","European"
"460","Autism","Triglycerides","Inverse variance weighted",38,0.057303302361364,0.0513832942704909,0.26475928486044,38.3263635582636,37,0.40914267511798,NA,NA,NA,NA,2015,NA,"PGC","Psychiatric / neurological",4949,5314,10263,"log odds",NA,"Males and females","European"
"461","Autism","Triglycerides","MR Egger",38,0.0186325371935325,0.0605451121587425,0.760048840988123,37.8986621869708,36,0.382746825123349,-0.00755556507824554,0.00634594472309082,0.241597338769324,NA,2015,NA,"PGC","Psychiatric / neurological",4949,5314,10263,"log odds",NA,"Males and females","European"
"462","Autism","Triglycerides","Weighted median",38,0.0673193927669025,0.0582246597862708,0.24759907101726,NA,NA,NA,NA,NA,NA,NA,2015,NA,"PGC","Psychiatric / neurological",4949,5314,10263,"log odds",NA,"Males and females","European"
"463","Bipolar disorder","Triglycerides","Inverse variance weighted",36,0.00181504037699091,0.0594687709218789,0.975651625803282,61.5106411363457,35,0.00369603434932441,NA,NA,NA,21926972,2011,"Sklar P","PGC","Psychiatric / neurological",7481,9250,16731,"log odds",NA,"Males and females","European"
"464","Bipolar disorder","Triglycerides","MR Egger",36,-0.0206539780418136,0.0711067104749282,0.77322524532336,62.6789981961183,34,0.0019636394491302,-0.00432343293407221,0.00733324180380647,0.559379096392145,21926972,2011,"Sklar P","PGC","Psychiatric / neurological",7481,9250,16731,"log odds",NA,"Males and females","European"
"465","Bipolar disorder","Triglycerides","Weighted median",36,-0.0140908233261262,0.0541286477064932,0.794616180531952,NA,NA,NA,NA,NA,NA,21926972,2011,"Sklar P","PGC","Psychiatric / neurological",7481,9250,16731,"log odds",NA,"Males and females","European"
"466","Bulimia nervosa","Triglycerides","Inverse variance weighted",37,0.0217796862984382,0.0214711291865483,0.310405856392619,51.5077428644559,36,0.0452877747384681,NA,NA,NA,23568457,2013,"Wade TD",NA,"Psychiatric / neurological",151,2291,2442,"log odds",NA,"Females","European"
"467","Bulimia nervosa","Triglycerides","MR Egger",37,0.0206872143937872,0.0270082341674042,0.448835533531482,52.9723180126262,35,0.0262518813693579,-0.000148576114809975,0.00217313670557529,0.945880665732761,23568457,2013,"Wade TD",NA,"Psychiatric / neurological",151,2291,2442,"log odds",NA,"Females","European"
"468","Bulimia nervosa","Triglycerides","Weighted median",37,0.0292492432277981,0.0234530771942221,0.212346597701911,NA,NA,NA,NA,NA,NA,23568457,2013,"Wade TD",NA,"Psychiatric / neurological",151,2291,2442,"log odds",NA,"Females","European"
"469","Caudate volume","Triglycerides","Inverse variance weighted",33,2.63257941281282,10.1701421604649,0.795748086073144,38.2573705981011,32,0.206536896518371,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"470","Caudate volume","Triglycerides","MR Egger",33,1.63343956941599,12.1270534486404,0.893724673509623,39.4600121257874,31,0.141675785016597,-0.199917762260315,1.2715108872137,0.876084367238771,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"471","Caudate volume","Triglycerides","Weighted median",33,-0.681303343386687,10.463405936372,0.948084060891942,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"472","Depressive symptoms","Triglycerides","Inverse variance weighted",36,-0.0238763228185749,0.00746306438046431,0.00137778323076716,41.1136439351817,35,0.220431225245015,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,161460,"SD",NA,"Males and females","European"
"473","Depressive symptoms","Triglycerides","MR Egger",36,-0.0154847722410802,0.00861870986292751,0.0812811649150587,38.6662070249356,34,0.26698998217326,0.00156375354277255,0.000872071795258137,0.0818494728284396,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,161460,"SD",NA,"Males and females","European"
"474","Depressive symptoms","Triglycerides","Weighted median",36,-0.018317125140439,0.00866081621118166,0.034434879323169,NA,NA,NA,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,161460,"SD",NA,"Males and females","European"
"475","Digit symbol","Triglycerides","Inverse variance weighted",37,0.0987902712119245,0.067849091126013,0.145384493371121,44.7139552640221,36,0.151194101981705,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2956,"SD (number correct in 90/120 seconds)",11.86,"Males and females","European"
"476","Digit symbol","Triglycerides","MR Egger",37,0.110712179451104,0.0843108831323161,0.197679481481499,45.9132014221826,35,0.102570641197742,0.00171379224271539,0.00701495286588421,0.808420693381777,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2956,"SD (number correct in 90/120 seconds)",11.86,"Males and females","European"
"477","Digit symbol","Triglycerides","Weighted median",37,0.0873932057937905,0.0761086348368966,0.250857425123514,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2956,"SD (number correct in 90/120 seconds)",11.86,"Males and females","European"
"478","G speed factor","Triglycerides","Inverse variance weighted",37,-0.0109867231965471,0.0634875800349708,0.862609681263593,25.7193308343966,36,0.898012767115594,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2430,"SD",1,"Males and females","European"
"479","G speed factor","Triglycerides","MR Egger",37,0.0271893758159396,0.0768987317075047,0.725779303165817,25.6800774302622,35,0.874937214615905,0.00596417547740351,0.00677882283299234,0.384955551214225,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2430,"SD",1,"Males and females","European"
"480","G speed factor","Triglycerides","Weighted median",37,0.0288151784264095,0.0782366884368001,0.71264377687815,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2430,"SD",1,"Males and females","European"
"481","Hippocampus volume","Triglycerides","Inverse variance weighted",33,-7.37642398216081,10.5983765303979,0.486431552778469,44.8336261231572,32,0.0655035399813968,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"482","Hippocampus volume","Triglycerides","MR Egger",33,-11.9282096214897,12.5506448997446,0.349257350749297,45.5768835386888,31,0.044252582590251,-0.907253033744958,1.31203601782474,0.494407334793429,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"483","Hippocampus volume","Triglycerides","Weighted median",33,-9.78786283404553,9.94291744253068,0.324916164123369,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"484","Inspection time","Triglycerides","Inverse variance weighted",37,0.0750730073413637,0.0613850825621847,0.221335533242516,35.4170168839889,36,0.496131929565975,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2645,"SD (milliseconds)",48.34,"Males and females","European"
"485","Inspection time","Triglycerides","MR Egger",37,0.0647685630144886,0.0755545150564169,0.397142671855305,36.3689371527367,35,0.404751582182595,-0.00157735749293539,0.00656456115990601,0.811512129954157,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2645,"SD (milliseconds)",48.34,"Males and females","European"
"486","Inspection time","Triglycerides","Weighted median",37,0.0956901351541784,0.0764747457266268,0.210837989545563,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2645,"SD (milliseconds)",48.34,"Males and females","European"
"487","Internalizing problems","Triglycerides","Inverse variance weighted",34,0.0629425914092838,0.0448429790224116,0.160431443656467,34.9234646373774,33,0.376722260613971,NA,NA,NA,24839885,2014,"Benke","EAGLE","Psychiatric / neurological",NA,NA,4596,NA,NA,"Males and females","European"
"488","Internalizing problems","Triglycerides","MR Egger",34,0.0576060203575059,0.0536476300100803,0.290949769910786,35.9751304742753,32,0.287630967512838,-0.00106342146842368,0.00565949607455108,0.852141203025646,24839885,2014,"Benke","EAGLE","Psychiatric / neurological",NA,NA,4596,NA,NA,"Males and females","European"
"489","Internalizing problems","Triglycerides","Weighted median",34,0.0479305548555237,0.0487180774925687,0.325196595988032,NA,NA,NA,NA,NA,NA,24839885,2014,"Benke","EAGLE","Psychiatric / neurological",NA,NA,4596,NA,NA,"Males and females","European"
"490","Intracranial volume","Triglycerides","Inverse variance weighted",33,-367.123154661718,4358.25406419481,0.932868565204186,44.7291451501558,32,0.0668474498561534,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"491","Intracranial volume","Triglycerides","MR Egger",33,-389.133065131021,5204.68317540209,0.940881331013342,46.1719243607767,31,0.0390623133015793,-4.34426013741257,539.879391816459,0.993631274529563,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"492","Intracranial volume","Triglycerides","Weighted median",33,-1190.79973713922,4154.09352748995,0.774375011662281,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"493","Major depressive disorder","Triglycerides","Inverse variance weighted",30,-0.0482873571681079,0.040414252218986,0.232161229126181,19.7342373061956,29,0.900996093637409,NA,NA,NA,22472876,2013,"Sullivan","PGC","Psychiatric / neurological",9240,9519,18759,"log odds",NA,"Males and females","European"
"494","Major depressive disorder","Triglycerides","MR Egger",30,-0.0330749841216658,0.0477093018777823,0.493856973415177,20.0790553878845,28,0.861565482999053,0.00322353075011746,0.00537272953958607,0.55334460482394,22472876,2013,"Sullivan","PGC","Psychiatric / neurological",9240,9519,18759,"log odds",NA,"Males and females","European"
"495","Major depressive disorder","Triglycerides","Weighted median",30,-0.0370297935448329,0.0475809487891003,0.436422634743564,NA,NA,NA,NA,NA,NA,22472876,2013,"Sullivan","PGC","Psychiatric / neurological",9240,9519,18759,"log odds",NA,"Males and females","European"
"496","Migraine in bipolar disorder","Triglycerides","Inverse variance weighted",21,0.025015044381696,0.187645546192298,0.893948149294646,32.6985780185671,20,0.0364001442903317,NA,NA,NA,25451450,2015,"Jacobsen KK",NA,"Psychiatric / neurological",460,924,1374,"log odds",NA,"Males and females","European"
"497","Migraine in bipolar disorder","Triglycerides","MR Egger",21,-0.175189693179787,0.218157049700385,0.431880999904804,30.1948820102655,19,0.0493700323914225,-0.0507528355903538,0.0311281699487913,0.11947293801925,25451450,2015,"Jacobsen KK",NA,"Psychiatric / neurological",460,924,1374,"log odds",NA,"Males and females","European"
"498","Migraine in bipolar disorder","Triglycerides","Weighted median",21,-0.00256479225038242,0.159087683205488,0.987137159509831,NA,NA,NA,NA,NA,NA,25451450,2015,"Jacobsen KK",NA,"Psychiatric / neurological",460,924,1374,"log odds",NA,"Males and females","European"
"499","Nucleus accumbens volume","Triglycerides","Inverse variance weighted",33,3.08322105110871,2.06367255520663,0.135163682087301,32.141934196564,32,0.459719647764809,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"500","Nucleus accumbens volume","Triglycerides","MR Egger",33,2.89347487103096,2.45971767822964,0.24841183918029,33.1555340946051,31,0.36243002778474,-0.0382883095224465,0.259762369466776,0.883772819091309,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"501","Nucleus accumbens volume","Triglycerides","Weighted median",33,2.78635583021688,2.25870701652875,0.217349541184089,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"502","Pallidum volume","Triglycerides","Inverse variance weighted",33,-0.694953765141264,4.11260804479101,0.865811367263096,40.3858875598739,32,0.146786559995517,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"503","Pallidum volume","Triglycerides","MR Egger",33,-1.61175718073474,4.89733547512892,0.744286526973972,41.5179981119783,31,0.0982432329222942,-0.182557991449062,0.511413649990006,0.723534792806926,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"504","Pallidum volume","Triglycerides","Weighted median",33,-1.27902932588021,4.08457988657709,0.754177280140662,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"505","Parkinson's disease","Triglycerides","Inverse variance weighted",9,0.0295146823429758,0.0257854764680968,0.252364831534686,6.27737414488844,8,0.616192611261136,NA,NA,NA,21829596,2011,"Pankratz",NA,"Psychiatric / neurological",816,856,1672,"log odds",NA,"Males and females","European"
"506","Parkinson's disease","Triglycerides","MR Egger",9,0.0375030867245278,0.146433881980054,0.805229764270162,7.17099313548597,7,0.411296075517058,0.000220136994049169,0.00397068067482419,0.957336647228309,21829596,2011,"Pankratz",NA,"Psychiatric / neurological",816,856,1672,"log odds",NA,"Males and females","European"
"507","Parkinson's disease","Triglycerides","Weighted median",9,0.0401658407335917,0.0282019094438539,0.154381593814586,NA,NA,NA,NA,NA,NA,21829596,2011,"Pankratz",NA,"Psychiatric / neurological",816,856,1672,"log odds",NA,"Males and females","European"
"508","PGC cross-disorder traits","Triglycerides","Inverse variance weighted",30,0.0117079209326283,0.0253574670006974,0.644285767816302,35.4795648669021,29,0.18922246090567,NA,NA,NA,23453885,2013,"Smoller JW","PGC","Psychiatric / neurological",33332,27888,61220,"log odds",NA,"Males and females","European"
"509","PGC cross-disorder traits","Triglycerides","MR Egger",30,-0.0150551805571679,0.0289457456810046,0.607070181939552,33.1642792474624,28,0.229747878050179,-0.00575953971858993,0.00331173990629486,0.0929971593039378,23453885,2013,"Smoller JW","PGC","Psychiatric / neurological",33332,27888,61220,"log odds",NA,"Males and females","European"
"510","PGC cross-disorder traits","Triglycerides","Weighted median",30,0.0109450949297382,0.0263852814500328,0.678274995953711,NA,NA,NA,NA,NA,NA,23453885,2013,"Smoller JW","PGC","Psychiatric / neurological",33332,27888,61220,"log odds",NA,"Males and females","European"
"511","Putamen volume","Triglycerides","Inverse variance weighted",33,-4.77854086218189,13.2793599205313,0.718961382556442,43.4674115576619,32,0.0850028745999252,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"512","Putamen volume","Triglycerides","MR Egger",33,-12.5141177341176,15.6183129679097,0.429087896884046,43.6130660598235,31,0.0658743346334026,-1.54581471916642,1.63568694376181,0.351938879670334,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"513","Putamen volume","Triglycerides","Weighted median",33,-2.84889980357775,12.6814325052351,0.822250583469107,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"514","Schizophrenia","Triglycerides","Inverse variance weighted",34,0.00818253541459009,0.0292369481998282,0.779577487816565,67.2075233605835,33,0.000399432698088969,NA,NA,NA,25056061,2014,"Ripke S","PGC","Psychiatric / neurological",35476,46839,82315,"log odds",NA,"Males and females","Mixed"
"515","Schizophrenia","Triglycerides","MR Egger",34,-0.00191448066639068,0.0347417407379792,0.956396587427303,68.652530422935,32,0.00017575722686477,-0.00200924874501934,0.00363572271118764,0.584349452192382,25056061,2014,"Ripke S","PGC","Psychiatric / neurological",35476,46839,82315,"log odds",NA,"Males and females","Mixed"
"516","Schizophrenia","Triglycerides","Weighted median",34,0.0068523311913722,0.0235176241811941,0.770768322569051,NA,NA,NA,NA,NA,NA,25056061,2014,"Ripke S","PGC","Psychiatric / neurological",35476,46839,82315,"log odds",NA,"Males and females","Mixed"
"517","Simple reaction time","Triglycerides","Inverse variance weighted",37,-0.00600005026097509,0.0486923768687104,0.901930033157043,27.8387842326721,36,0.832896707635217,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2378,"SD (milliseconds)",75.43,"Males and females","European"
"518","Simple reaction time","Triglycerides","MR Egger",37,-0.0163418125623459,0.0573900918593809,0.777514014715597,28.5182628882253,35,0.772587364717739,-0.00208280344975598,0.00611755851316129,0.735542860048845,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2378,"SD (milliseconds)",75.43,"Males and females","European"
"519","Simple reaction time","Triglycerides","Weighted median",37,-0.032586734172813,0.055866149558621,0.559691252478737,NA,NA,NA,NA,NA,NA,21130836,2011,"Luciano",NA,"Psychiatric / neurological",NA,NA,2378,"SD (milliseconds)",75.43,"Males and females","European"
"520","Subjective well being","Triglycerides","Inverse variance weighted",36,-0.00410283033646024,0.00768444556512578,0.593401281606247,70.8460275996832,35,0.000317755927087117,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,298420,"SD",NA,"Males and females","European"
"521","Subjective well being","Triglycerides","MR Egger",36,-0.00974807105920314,0.00900244935283423,0.286506242065758,70.0341134728975,34,0.00026862608769925,-0.00115133469504547,0.000971060091736562,0.243982058904359,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,298420,"SD",NA,"Males and females","European"
"522","Subjective well being","Triglycerides","Weighted median",36,-0.010164200789933,0.00642821710915859,0.113835732667261,NA,NA,NA,NA,NA,NA,27089181,2016,"Okbay","SSGAC","Psychiatric / neurological",NA,NA,298420,"SD",NA,"Males and females","European"
"523","Thalamus volume","Triglycerides","Inverse variance weighted",33,0.264091181441436,11.7113392318484,0.982009195078431,27.239239150849,32,0.706412916650921,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"524","Thalamus volume","Triglycerides","MR Egger",33,-3.15257834025717,13.7492854261411,0.820149345079507,27.8929441466637,31,0.626686358768967,-0.684661548762777,1.44345699240744,0.638595400884482,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"525","Thalamus volume","Triglycerides","Weighted median",33,1.84802833171535,13.7148336999278,0.892812163039849,NA,NA,NA,NA,NA,NA,25607358,2015,"Hibar","ENIGMA","Psychiatric / neurological",NA,NA,30717,"mm3",NA,"Males and females","European"
"526","Age at menarche","Triglycerides","Inverse variance weighted",38,-0.0096410177110288,0.0210811406671052,0.647434563508787,111.212352052136,37,2.36473998530517e-09,NA,NA,NA,25231870,2014,"Perry JR","ReproGen","Reproductive aging",NA,NA,182416,"years",NA,"Females","European"
"527","Age at menarche","Triglycerides","MR Egger",38,-0.0167531706688861,0.0256377914721401,0.517614510769124,113.518431569795,36,5.85577575797141e-10,-0.00117900488235032,0.00236578012726297,0.621263130645636,25231870,2014,"Perry JR","ReproGen","Reproductive aging",NA,NA,182416,"years",NA,"Females","European"
"528","Age at menarche","Triglycerides","Weighted median",38,-0.00687445453923818,0.015073119338623,0.648336922904693,NA,NA,NA,NA,NA,NA,25231870,2014,"Perry JR","ReproGen","Reproductive aging",NA,NA,182416,"years",NA,"Females","European"
"529","Age at menopause","Triglycerides","Inverse variance weighted",38,-0.10031050351551,0.0535034492848184,0.0608144898305412,84.3276129032199,37,1.48309074951148e-05,NA,NA,NA,26414677,2015,"Day","ReproGen","Reproductive aging",NA,NA,69360,"years",NA,"Females","European"
"530","Age at menopause","Triglycerides","MR Egger",38,-0.0921119385442325,0.0640828302128541,0.159243267044739,86.5318574832813,36,4.79200603867374e-06,0.00163793363075751,0.00683118662686452,0.811866311144901,26414677,2015,"Day","ReproGen","Reproductive aging",NA,NA,69360,"years",NA,"Females","European"
"531","Age at menopause","Triglycerides","Weighted median",38,-0.0599361795855784,0.0403731909923851,0.137662025558589,NA,NA,NA,NA,NA,NA,26414677,2015,"Day","ReproGen","Reproductive aging",NA,NA,69360,"years",NA,"Females","European"
"532","Chronotype","Triglycerides","Inverse variance weighted",38,-0.000869843904069499,0.00769045146939637,0.90994572440914,44.7024713278196,37,0.179780632621324,NA,NA,NA,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"533","Chronotype","Triglycerides","MR Egger",38,0.00375756097668746,0.0090920562732803,0.681853300518958,44.8046972364879,36,0.149037069652663,0.00093166376649132,0.000973667718689881,0.345019935604841,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"534","Chronotype","Triglycerides","Weighted median",38,0.000114824350505208,0.00782249003282206,0.988288475132934,NA,NA,NA,NA,NA,NA,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"535","Sleep duration","Triglycerides","Inverse variance weighted",38,0.00540848406568983,0.00879404228238558,0.538543601510293,57.1022749779493,37,0.0184756977662177,NA,NA,NA,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"536","Sleep duration","Triglycerides","MR Egger",38,0.000898465804582294,0.0104199269525039,0.931764778423659,57.6222473451421,36,0.0125271306805439,-0.000912559029072888,0.00111811140785191,0.419775862950981,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"537","Sleep duration","Triglycerides","Weighted median",38,0.00325269943107295,0.00824850967113035,0.693331634643996,NA,NA,NA,NA,NA,NA,27494321,2016,"Jones","UK Biobank","Sleeping",NA,NA,128266,"SD",NA,"Males and females","European"
"538","Father’s age at death","LDL cholesterol","Inverse variance weighted",52,0.0488424746831933,0.0119424134312943,4.31684182071872e-05,50.4973989891899,51,0.49353909753322,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"539","Father’s age at death","LDL cholesterol","MR Egger",52,0.0516755864948361,0.019247614917223,0.00981962541570386,51.4706407054122,50,0.415969696627292,0.000236404594585608,0.0012519316202397,0.850988982792555,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"540","Father’s age at death","LDL cholesterol","Weighted median",52,0.0503098634347515,0.017473052617141,0.00398580484362795,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"541","Mother’s age at death","LDL cholesterol","Inverse variance weighted",52,0.0259405281259896,0.0158843025571272,0.1024496396977,72.1811760788636,51,0.0270646374621393,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"542","Mother’s age at death","LDL cholesterol","MR Egger",52,0.0387399233545359,0.0254967774816377,0.134959361944698,73.0188787604109,50,0.0185161538115805,0.0010686312329406,0.00165902334024118,0.522433414957298,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"543","Mother’s age at death","LDL cholesterol","Weighted median",52,0.0406234049562917,0.0230634839408351,0.0781752400521891,NA,NA,NA,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
"544","Parents' age at death","LDL cholesterol","Inverse variance weighted",52,0.0736397187463184,0.0236604122066726,0.00185598067979587,73.3672103747526,51,0.0217604356989572,NA,NA,NA,27015805,2016,"Pilling","UK Biobank","Aging",NA,NA,75244,"SD",NA,"Males and females","European"
